response	unsure_VAS	sure_VAS	subject
0	0	0	0
1	12.6302083333333	52.34375	1001
1	19.4010416666667	19.4010416666667	1002
1	29.8177083333333	42.7083333333333	1003
1	18.359375	77.8645833333333	1004
1	45.4427083333333	63.28125	1005
0	84.6354166666667	10.9375	1006
-0	76.5625	39.84375	1007
0	100	5.46875	1008
1	63.5416666666667	63.0208333333333	NaN
0	80.46875	27.6041666666667	1010
1	23.046875	71.3541666666667	1011
0	92.3177083333333	22.3958333333333	1012
-0	69.2708333333333	43.6197916666667	1013
1	46.6145833333333	62.2395833333333	1014
1	11.5885416666667	87.890625	1015
0	65.234375	21.6145833333333	1016
1	32.9427083333333	94.6614583333333	1017
1	18.8802083333333	85.2864583333333	1018
-0	48.5677083333333	50.5208333333333	1019
1	24.3489583333333	82.9427083333333	1020
-0	62.3697916666667	43.8802083333333	1021
1	8.85416666666667	94.7916666666667	1022
1	54.4270833333333	33.59375	2001
1	74.609375	88.28125	2002
-0	65.3645833333333	79.0364583333333	2003
1	79.5572916666667	92.1875	2004
1	73.6979166666667	96.09375	2005
0	90.625	9.50520833333333	2006
1	26.0416666666667	67.8385416666667	2007
0	72.265625	69.6614583333333	2008
1	14.453125	60.8072916666667	2010
-0	1.82291666666667	2.60416666666667	2011
0	68.75	62.109375	2012
1	17.4479166666667	95.8333333333333	2013
1	20.703125	88.9322916666667	2014
1	7.421875	94.0104166666667	2015
1	0	0	2016
-0	100	62.5	2017
0	85.2864583333333	5.33854166666667	2018
1	96.09375	92.4479166666667	2019
1	83.7239583333333	86.8489583333333	2020
1	67.1875	19.921875	2021
1	12.3697916666667	94.7916666666667	3001
-0	73.046875	57.9427083333333	3003
1	100	100	3004
-0	23.1770833333333	83.59375	3005
1	36.71875	66.9270833333333	3006
1	100	54.4270833333333	3007
1	100	90.234375	3008
1	26.0416666666667	89.1927083333333	3009
1	92.1875	87.6302083333333	3010
1	55.46875	61.71875	3011
1	35.0260416666667	100	3012
-0	75.2604166666667	77.734375	3013
1	47.5260416666667	10.4166666666667	3014
-0	62.7604166666667	47.265625	3015
1	3.90625	6.25	3016
1	43.6197916666667	68.4895833333333	3017
1	60.2864583333333	45.0520833333333	3018
-0	57.421875	46.484375	3019
1	79.6875	51.171875	4001
1	87.890625	85.2864583333333	4002
0	0	0	0
0	100	0	4004
1	77.6041666666667	74.0885416666667	4005
1	89.453125	85.15625	4006
1	6.51041666666667	100	4007
0	85.2864583333333	69.140625	4008
1	100	52.2135416666667	4009
1	73.3072916666667	56.3802083333333	4010
1	0	100	4011
1	0	100	4012
1	44.2708333333333	72.3958333333333	4013
1	97.3958333333333	100	4014
1	53.2552083333333	74.3489583333333	4015
1	100	88.671875	4016
1	54.5572916666667	47.7864583333333	4017
1	24.0885416666667	75.78125	4018
1	97.265625	92.96875	4019
1	2.08333333333333	96.09375	4020
1	80.46875	79.4270833333333	4021
0	78.125	72.65625	4022
-0	12.3697916666667	88.5416666666667	4023
1	89.5833333333333	67.3177083333333	4024
-0	100	94.7916666666667	4025
1	54.4270833333333	100	5001
0	33.59375	46.6145833333333	5002
1	80.078125	20.5729166666667	5003
1	29.4270833333333	50.390625	5004
1	52.0833333333333	43.6197916666667	5005
1	7.29166666666667	7.8125	5006
1	19.53125	56.1197916666667	5007
0	9.63541666666667	48.046875	5008
-0	30.859375	46.6145833333333	5009
0	82.5520833333333	68.4895833333333	5010
1	100	100	5011
1	31.1197916666667	70.3125	5012
1	53.2552083333333	94.0104166666667	5013
1	7.421875	100	5014
-0	79.5572916666667	80.46875	5015
1	52.0833333333333	82.03125	5016
1	47.9166666666667	90.4947916666667	5017
1	55.078125	66.6666666666667	5018
-0	52.2135416666667	67.1875	5019
1	55.46875	79.0364583333333	5020
1	69.53125	69.6614583333333	5021
1	100	98.6979166666667	5022
-0	48.046875	42.0572916666667	5023
1	5.859375	81.25	5024
1	42.0572916666667	62.890625	5025
1	6.51041666666667	77.6041666666667	5026
1	92.1875	79.6875	5027
0	76.6927083333333	0	5028
1	50.6510416666667	75.390625	5029
1	25.5208333333333	91.6666666666667	5030
1	51.171875	64.1927083333333	5031
1	3.125	95.9635416666667	5032
1	19.2708333333333	85.546875	5033
1	85.15625	86.8489583333333	5034
