"","subject","language"
"1","sub-1001",1
"2","sub-1002",1
"3","sub-1003",1
"4","sub-1004",2
"5","sub-1005",2
"6","sub-1006",2
"7","sub-1007",2
"8","sub-1008",1
"9","sub-1009",2
"10","sub-1010",2
"11","sub-1011",2
"12","sub-1012",2
"13","sub-1013",2
"14","sub-1014",1
"15","sub-1015",2
"16","sub-1016",1
"17","sub-1017",2
"18","sub-1018",1
"19","sub-1019",1
"20","sub-1020",2
"21","sub-2001",1
"22","sub-2002",2
"23","sub-2003",2
"24","sub-2004",2
"25","sub-2005",2
"26","sub-2006",2
"27","sub-2007",2
"28","sub-2008",2
"29","sub-2010",2
"30","sub-2011",2
"31","sub-2012",1
"32","sub-2013",1
"33","sub-2014",2
"34","sub-2015",2
"35","sub-2016",2
"36","sub-2017",2
"37","sub-2019",2
"38","sub-2020",2
"39","sub-2021",1
"40","sub-3001",2
"41","sub-3003",2
"42","sub-3004",2
"43","sub-3005",2
"44","sub-3006",2
"45","sub-3007",2
"46","sub-3008",2
"47","sub-3009",2
"48","sub-3010",2
"49","sub-3011",2
"50","sub-3012",2
"51","sub-3013",2
"52","sub-3014",2
"53","sub-3015",2
"54","sub-3016",2
"55","sub-3017",2
"56","sub-3018",2
"57","sub-3019",2
"58","sub-4001",2
"59","sub-4002",2
"60","sub-4004",2
"61","sub-4005",2
"62","sub-4006",2
"63","sub-4010",2
"64","sub-4012",2
"65","sub-4013",2
"66","sub-4014",2
"67","sub-4015",2
"68","sub-4016",2
"69","sub-4018",2
"70","sub-4020",2
"71","sub-4022",2
"72","sub-4023",2
"73","sub-4024",2
"74","sub-5001",2
"75","sub-5003",2
"76","sub-5005",2
"77","sub-5006",2
"78","sub-5008",2
"79","sub-5009",2
"80","sub-5011",2
"81","sub-5013",2
"82","sub-5014",2
"83","sub-5016",2
"84","sub-5017",2
"85","sub-5018",2
"86","sub-5019",2
"87","sub-5021",2
"88","sub-5024",2
"89","sub-5025",2
"90","sub-5027",2
"91","sub-5028",2
"92","sub-5029",2
"93","sub-5031",2
"94","sub-5032",2
"95","sub-5033",2
"96","sub-1021",2
"97","sub-1022",2
"98","sub-2018",2
"99","sub-4007",2
"100","sub-4008",2
"101","sub-4009",2
"102","sub-4011",2
"103","sub-4017",2
"104","sub-4019",2
"105","sub-4021",2
"106","sub-4025",2
"107","sub-5002",2
"108","sub-5004",2
"109","sub-5007",2
"110","sub-5010",2
"111","sub-5012",2
"112","sub-5015",2
"113","sub-5020",2
"114","sub-5022",2
"115","sub-5023",2
"116","sub-5026",2
"117","sub-5030",2
"118","sub-5034",2
